	Iozone: Performance Test of File I/O
	        Version $Revision: 3.308 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root.

	Run began: Thu Nov 15 15:08:56 2012

	Auto Mode
	Cross over of record size disabled.
	Using maximum file size of 8192 kilobytes.
	Command line used: iozone -az -g 8M iozone-test
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  361380  771797  1183548  1690338 1363961  771797 1143223   855419  1255511   495445   615952 1484662  1690338
              64       8  426219 1066042  2561267  2561267 2278628 1188789 1679761  1330167  1991276   688639   983980 2358717  2467108
              64      16  457452 1124074  2772930  3022727 3203069 1526887 2067979  1780008  2772930   710511  1336792 2801873  3022727
              64      32  528618 1279447  3791156  3541098 4274062 1879725 2561267  1991276  3203069   829001  1679761 3406295  3791156
              64      64  566551 1163036  3791156  3791156 4897948 2133730 2689580  2052169  2467108   855419  1392258 3541098  3738358
             128       4  400110  800337  1833539  1772988 1440082  743788 1217930   914904  1281909   526961   805138 1710838  1504659
             128       8  472262 1102844  2608629  2511022 2367096 1196221 1802755  1409828  2166499   699227  1102844 2511022  2558895
             128      16  533241 1266785  3560017  3277486 3560017 1663139 2571150  1939522  3218540   821147  1217930 3297617  3445772
             128      32  637004 1663139  2784517  4135958 4557257 2035099 3199360  2286447  4012317   836500  1802755 3867787  4135958
             128      64  601330 1827299  3124872  4407601 4889281 2248149 3445772  2464907  4267461   908709  2464907 4012317  4267461
             128     128  771581 1905110  4407601  4596273 6114306 2420455 3759450  2326073  4135958  1032829  1878447 4267461  4557257
             256       4  429530  855703  1855098  1868008 1455317  626159 1108314   570288  1340826   439912   735537 1607865  1817419
