	Iozone: Performance Test of File I/O
	        Version $Revision: 3.308 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root.

	Run began: Wed Nov 14 16:17:27 2012

	Auto Mode
	Cross over of record size disabled.
	Using maximum file size of 8192 kilobytes.
	Command line used: iozone -az -g 8M /srv/xen/iozone-test
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  546928  809014    31279    39952   20151  727850    6505   955947    61768   727850   811459   28855    28621
              64       8 1049372  955947    56934    60831   20833 1033216   11625  1363961    57967  1083249  1033216   28572    28636
              64      16 1232453  520419    57967    59155   20151 1304314   17358  1363961    52719  1204796  1279447   52677    56242
              64      32  913649 1255511    57348    56682   27936 1526887   22068  1734015    54286   733819  1933893   50507    51863
              64      64 1017549 1452528    58017    56946   52206 1638743   32522  1690338    41963  1421755  1484662   53422    51863
             128       4  663782  864797    78194    77528   13009  726674    6567  1040839    33624   790905   841746   46290    46815
             128       8  847059 1123617    79058    77294   30204  809997   12233  1579934   106568  1057236  1133103   45977    45863
             128      16  969421 1229084    77116    78618   40697 1455701   17716  2098744   107014  1319723  1254941   54417    54422
             128      32 1048974 1579934    80917    78149   29331 1705404   26005  2326073   104331  1561553   895074   52999    54444
             128      64 1074159 1642783    76512    78572   44458 1802755   37110  2166499    81842   895074  2367096   59534    74371
             128     128  927549 1561553    80396    80856   64544 1778862   51652  1827299    64220  1346196  1579934   58959    74206
             256       4  711178  844929    91166    92018   32603  795478    7109  1108314    36307   739590   831194   77831    67277
             256       8  927393 1153561    75964    85503   23615 1114064   12492  1755037    52126   965763  1084800   66511    66490
             256      16 1028679 1549845    92789    94016   48520 1514860   19322  2330140   150324  1195962  1430119   67689    68322
             256      32 1027695 1579483    92853    93704   53580 1752173   27049  2045979   206456  1369908  1729594   68084    68196
             256      64 1117543 1740810    83710    95666   52106 1911233   46792  2849590   198443  1439707  1894373   87639    77270
             256     128  750445 1839210    92223    92950   71688 1884399   60360  1752173   121329  1206714  2613746   79285    79946
             256     256 1084800 1543163    95453    82660   89914 1868008   61554  1361224    83795  1190657  1686137   80377    80582
             512       4  661618  911184    99726    96786   25217  802555    7074  1145443    42762   458687   867738   85431    85133
             512       8  904658 1098566    97485    99781   40122 1180062   13676  1821745    55035  1130370  1187895   76090    83294
             512      16 1070633 1546280    93978    96551   31299 1500891   19702  2609952    78312  1365383  1410215   80376    81595
             512      32  882718 1718254    96642    93159   56580 1809465   28970  3012719   325929  1556366  1640796   80151    73680
             512      64 1185272 1797349    97618    97062   75350 1630828   44268  3163620   310114  1433753  1815584   89606    89244
             512     128 1014013 1429934    90524    95436   65223 1712772   57657  1882427   188511  1753325  1947291   99689    87578
             512     256 1248678 1764853   102667   100566   85208 1875849   75393  2497638   132333  1414860  2560168   98405    93548
             512     512 1169140 1674052    98400   100313   98631 1815584   85221  1821745    97916  1546280  1605228   96365    96291
            1024       4  598117  836604   104108   103854   29449  611400    7182  1070048    46794   676819   831261   93296    95221
            1024       8  878351 1126458   107312   105994   43452 1146607   14718  1888889    64321  1044799  1231070   83735    18814
            1024      16 1075407 1335165    96631    71915   51955 1341839   27084  2604895    89190  1356245  1570483   96906    93116
            1024      32 1166538 1961346    82440    95656   50290 1741104   29842  3281592    84797  1543949  1759651   93192    90491
            1024      64 1175799 1917562    99427    99591   80287 1969440   52322  3458646   556212  1572783  1834824   97376    98198
            1024     128 1103308 1584972   101356    99981   87275 2077065   65644  3518141   471001  1602715  1924436  100826    98375
            1024     256 1262926 1928757   103234   100620   89385 1968537   74848  2672984   247765  1729884  2047361   87417    91542
            1024     512 1270397 1568189   100549    91281   83871 1812371   82552  1701108   164951   942952  1643814   96486    95718
            1024    1024 1226500 1501313    70820    85690   88252 1777861   83798  1848247    95405  1643814  1914144   96969    99225
            2048       4  664917  563577    99668    98750   27940  654281    7545  1130283    46775   747678   830843   86860    97537
            2048       8  883937 1231566   109360   109076   43969 1136414   15014  1823840    69988  1023487  1084203  104934   104447
            2048      16 1048089 1568134   102317    95947   54449 1470172   26904  2670330    84810  1325442  1254223  105778   101186
            2048      32 1101159 1670606   111015   110924   63386 1668983   30013  3126106    80737  1455475  1641240   91103    93954
            2048      64  991702 1707806   106136   110865   74801 1745990   47314  3235617   101315  1224892  1534244  103737   104622
            2048     128 1019842 1523901   107597   109023   90844 1892971   66128  3751381   607543  1338662  1509175  100481   106212
            2048     256  910258 1617749   110588   110397  102394 1716680   78912  2531808   318809  1167617  1538641  103580   108204
            2048     512 1394061 1544450   111931   111189   98121 1701042   92435  1965297   212381  1526066  1617749  101926   106323
            2048    1024 1279252 1458688   108072   111104  103257 1631886   99597  2045804   184437  1102856  1986660  107624   108324
            2048    2048 1025075 1399968   108646   111142  107784 1453505  103954  1453505   108273  1422220  1442279  106550   106411
            4096       4  663525  702802   112920   112928   27833  567858    7335  1106750    46687   668092   698516  107976   107735
            4096       8  785300  964467   111304   111970   39642  936446   14082  1919365    62656   896287   913443  106725   108895
            4096      16  930865 1082414   112663   112887   52762 1140927   19977  2526895    83467   948597  1074224  108805   107554
            4096      32 1039829 1280855   113036   112719   62781 1353618   29811  3210107    95125  1156441  1153490  107126   109171
            4096      64  999538 1164278   106309   112949   78667 1372215   50921  3621537   103017  1042733  1090245  108371   103085
            4096     128 1032270 1371777   112496   112762   87269 1161680   64770  3352296   105311  1208249  1265756  106855    98825
            4096     256 1081596 1356719   110294   112475  100966 1407516   82292  2594046   672802  1165621  1255305  109691    97581
            4096     512 1061415 1282385   108000   108185  105502 1408439   95527  2494606   524595  1143814  1217238  109826   109880
            4096    1024 1162938 1265756   112428   112545  102994 1141230  101523  2339368   327729  1282385  1295732  109765   110080
            4096    2048 1068346 1169987   112274   111294  107689 1236334  104245  1667818   190300  1027823  1577175  110001   108690
            4096    4096  799852  995599   112672   112818  109422  935172  106877   941217   109562   887353   988154  109612   109256
            8192       4  596742  679438   113213   113192   31934  583220    7303  1111540    47941   626056   664446  110707   107645
            8192       8  835316  908007   113133   112142   36997  765389   14493  1860118    64643   780480   840794  110862   110668
            8192      16  941084 1041589   113181   113399   54332  904875   19668  2430860    91503   947598   910413  110041   111014
            8192      32 1077756 1144302   113577   113484   66736 1050377   29966  2772107    95557  1027602   961627  105236   110095
            8192      64 1017891 1067908   113456   113863   84886 1081181   54600  3837016   100017  1022221  1116997  110169   110336
            8192     128 1100187 1081726   113366   113438   91993 1121884   64264  4041463   107389  1069736  1035905  106957   111782
            8192     256 1060459 1208241   111828   108215   95500 1129741   84166  3037511   103810  1052565  1120676  111052   107715
            8192     512 1076203 1195378   109913   112957  106299  991542   98432  2432409   638493  1017017  1085450  108018   111746
            8192    1024 1071003 1127776   113549   113462  111672 1157056  102518  2168380   541475  1011359  1011210  106405   111556
            8192    2048 1027233 1155733   113461   113442  105248 1036842  106446  2089905   374473   994556  1031613  111305   111628
            8192    4096  779896  861323   113545   113272  109979  868639  108316   944966   196083   898345  1299742  111080   110410
            8192    8192  694349  788070   113373   112645  110849  861776  106349   854298   110536   731481   788450  106453   110553

iozone test complete.
